Reading ;Start Time ;Duration ;Max Time ;Max ;;Average ;;Min Time ;Min;;Description ;Stop Time
85;22.5.2014 14:03:56;00:00:01;22.5.2014 14:03:56;0,000;VAC;0,000;VAC;22.5.2014 14:03:56;0,000;VAC;;22.5.2014 14:03:57
86;22.5.2014 14:03:57;00:00:01;22.5.2014 14:03:57;0,000;VAC;0,000;VAC;22.5.2014 14:03:57;0,000;VAC;;22.5.2014 14:03:58
87;22.5.2014 14:03:58;00:00:01;22.5.2014 14:03:58;0,000;VAC;0,000;VAC;22.5.2014 14:03:58;0,000;VAC;;22.5.2014 14:03:59
88;22.5.2014 14:03:59;00:00:01;22.5.2014 14:03:59;0,000;VAC;0,000;VAC;22.5.2014 14:03:59;0,000;VAC;;22.5.2014 14:04:00
89;22.5.2014 14:04:00;00:00:01;22.5.2014 14:04:00;0,000;VAC;0,000;VAC;22.5.2014 14:04:00;0,000;VAC;;22.5.2014 14:04:01
90;22.5.2014 14:04:01;00:00:01;22.5.2014 14:04:01;0,000;VAC;0,000;VAC;22.5.2014 14:04:01;0,000;VAC;;22.5.2014 14:04:02
91;22.5.2014 14:04:02;00:00:01;22.5.2014 14:04:02;0,000;VAC;0,000;VAC;22.5.2014 14:04:02;0,000;VAC;;22.5.2014 14:04:03
92;22.5.2014 14:04:03;00:00:01;22.5.2014 14:04:03;0,000;VAC;0,000;VAC;22.5.2014 14:04:03;0,000;VAC;;22.5.2014 14:04:04
93;22.5.2014 14:04:04;00:00:01;22.5.2014 14:04:04;0,000;VAC;0,000;VAC;22.5.2014 14:04:04;0,000;VAC;;22.5.2014 14:04:05
94;22.5.2014 14:04:05;00:00:01;22.5.2014 14:04:05;0,000;VAC;0,000;VAC;22.5.2014 14:04:05;0,000;VAC;;22.5.2014 14:04:06
95;22.5.2014 14:04:06;00:00:01;22.5.2014 14:04:06;0,000;VAC;0,000;VAC;22.5.2014 14:04:06;0,000;VAC;;22.5.2014 14:04:07
96;22.5.2014 14:04:07;00:00:01;22.5.2014 14:04:07;0,000;VAC;0,000;VAC;22.5.2014 14:04:07;0,000;VAC;;22.5.2014 14:04:08
97;22.5.2014 14:04:08;00:00:01;22.5.2014 14:04:08;0,000;VAC;0,000;VAC;22.5.2014 14:04:08;0,000;VAC;;22.5.2014 14:04:09
98;22.5.2014 14:04:09;00:00:01;22.5.2014 14:04:09;0,000;VAC;0,000;VAC;22.5.2014 14:04:09;0,000;VAC;;22.5.2014 14:04:10
99;22.5.2014 14:04:10;00:00:01;22.5.2014 14:04:10;0,000;VAC;0,000;VAC;22.5.2014 14:04:10;0,000;VAC;;22.5.2014 14:04:11
100;22.5.2014 14:04:11;00:00:01;22.5.2014 14:04:11;0,000;VAC;0,000;VAC;22.5.2014 14:04:11;0,000;VAC;;22.5.2014 14:04:12
101;22.5.2014 14:04:12;00:00:01;22.5.2014 14:04:12;0,000;VAC;0,000;VAC;22.5.2014 14:04:12;0,000;VAC;;22.5.2014 14:04:13
102;22.5.2014 14:04:13;00:00:01;22.5.2014 14:04:13;0,000;VAC;0,000;VAC;22.5.2014 14:04:13;0,000;VAC;;22.5.2014 14:04:14
103;22.5.2014 14:04:14;00:00:01;22.5.2014 14:04:14;0,000;VAC;0,000;VAC;22.5.2014 14:04:14;0,000;VAC;;22.5.2014 14:04:15
104;22.5.2014 14:04:15;00:00:01;22.5.2014 14:04:15;0,000;VAC;0,000;VAC;22.5.2014 14:04:15;0,000;VAC;;22.5.2014 14:04:16
105;22.5.2014 14:04:16;00:00:01;22.5.2014 14:04:16;0,000;VAC;0,000;VAC;22.5.2014 14:04:16;0,000;VAC;;22.5.2014 14:04:17
106;22.5.2014 14:04:17;00:00:01;22.5.2014 14:04:17;0,000;VAC;0,000;VAC;22.5.2014 14:04:17;0,000;VAC;;22.5.2014 14:04:18
107;22.5.2014 14:04:18;00:00:01;22.5.2014 14:04:18;0,000;VAC;0,000;VAC;22.5.2014 14:04:18;0,000;VAC;;22.5.2014 14:04:19
108;22.5.2014 14:04:19;00:00:01;22.5.2014 14:04:19;0,000;VAC;0,000;VAC;22.5.2014 14:04:19;0,000;VAC;;22.5.2014 14:04:20
109;22.5.2014 14:04:20;00:00:01;22.5.2014 14:04:20;0,000;VAC;0,000;VAC;22.5.2014 14:04:20;0,000;VAC;;22.5.2014 14:04:21
110;22.5.2014 14:04:21;00:00:01;22.5.2014 14:04:21;0,000;VAC;0,000;VAC;22.5.2014 14:04:21;0,000;VAC;;22.5.2014 14:04:22
111;22.5.2014 14:04:22;00:00:01;22.5.2014 14:04:22;0,000;VAC;0,000;VAC;22.5.2014 14:04:22;0,000;VAC;;22.5.2014 14:04:23
112;22.5.2014 14:04:23;00:00:01;22.5.2014 14:04:23;0,000;VAC;0,000;VAC;22.5.2014 14:04:23;0,000;VAC;;22.5.2014 14:04:24
113;22.5.2014 14:04:24;00:00:01;22.5.2014 14:04:24;0,000;VAC;0,000;VAC;22.5.2014 14:04:24;0,000;VAC;;22.5.2014 14:04:25
114;22.5.2014 14:04:25;00:00:01;22.5.2014 14:04:25;0,000;VAC;0,000;VAC;22.5.2014 14:04:25;0,000;VAC;;22.5.2014 14:04:26
115;22.5.2014 14:04:26;00:00:01;22.5.2014 14:04:26;0,000;VAC;0,000;VAC;22.5.2014 14:04:26;0,000;VAC;;22.5.2014 14:04:27
116;22.5.2014 14:04:27;00:00:01;22.5.2014 14:04:27;0,000;VAC;0,000;VAC;22.5.2014 14:04:27;0,000;VAC;;22.5.2014 14:04:28
117;22.5.2014 14:04:28;00:00:01;22.5.2014 14:04:28;0,000;VAC;0,000;VAC;22.5.2014 14:04:28;0,000;VAC;;22.5.2014 14:04:29
118;22.5.2014 14:04:29;00:00:01;22.5.2014 14:04:29;0,000;VAC;0,000;VAC;22.5.2014 14:04:29;0,000;VAC;;22.5.2014 14:04:30
119;22.5.2014 14:04:30;00:00:01;22.5.2014 14:04:30;0,000;VAC;0,000;VAC;22.5.2014 14:04:30;0,000;VAC;;22.5.2014 14:04:31
120;22.5.2014 14:04:31;00:00:01;22.5.2014 14:04:31;0,000;VAC;0,000;VAC;22.5.2014 14:04:31;0,000;VAC;;22.5.2014 14:04:32
121;22.5.2014 14:04:32;00:00:01;22.5.2014 14:04:32;0,000;VAC;0,000;VAC;22.5.2014 14:04:32;0,000;VAC;;22.5.2014 14:04:33
122;22.5.2014 14:04:33;00:00:01;22.5.2014 14:04:33;0,000;VAC;0,000;VAC;22.5.2014 14:04:33;0,000;VAC;;22.5.2014 14:04:34
123;22.5.2014 14:04:34;00:00:01;22.5.2014 14:04:34;0,000;VAC;0,000;VAC;22.5.2014 14:04:34;0,000;VAC;;22.5.2014 14:04:35
124;22.5.2014 14:04:35;00:00:01;22.5.2014 14:04:35;0,000;VAC;0,000;VAC;22.5.2014 14:04:35;0,000;VAC;;22.5.2014 14:04:36
125;22.5.2014 14:04:36;00:00:01;22.5.2014 14:04:36;0,000;VAC;0,000;VAC;22.5.2014 14:04:36;0,000;VAC;;22.5.2014 14:04:37
126;22.5.2014 14:04:37;00:00:01;22.5.2014 14:04:37;0,000;VAC;0,000;VAC;22.5.2014 14:04:37;0,000;VAC;;22.5.2014 14:04:38
127;22.5.2014 14:04:38;00:00:01;22.5.2014 14:04:38;0,000;VAC;0,000;VAC;22.5.2014 14:04:38;0,000;VAC;;22.5.2014 14:04:39
